Country;Site;Place;Plot;Subplot;X;Y;Z;Z.Classe;Date;Species;LLS;HT;Age.Classe;B;B.pour;H;D;Pourc.shrubs;Pourc.herbs;Faeces;Livestock;Notes;Ungulate.species;Ungulate.data.sources;Tags.France;plot_disturb;Dead;Height;Age;Length.last.shoot;Prec;Tmean;Tmean456;prec1;prec2;prec3;prec4;prec5;prec6;prec7;prec8;prec9;prec10;prec11;prec12;tmin1;tmin2;tmin3;tmin4;tmin5;tmin6;tmin7;tmin8;tmin9;tmin10;tmin11;tmin12;tmax1;tmax2;tmax3;tmax4;tmax5;tmax6;tmax7;tmax8;tmax9;tmax10;tmax11;tmax12;tmean1;tmean2;tmean3;tmean4;tmean5;tmean6;tmean7;tmean8;tmean9;tmean10;tmean11;tmean12;Press.ong;Kg.IM.100ha;Kg.CS.100ha;tm_new_dec;tm_new_jan;tm_new_fev
France;Belledonne;;1B1;.3.4;5.788903454;45.07360656;554;1;2010;ACPS;2;9;3;1;;15;;3;25;;;;;;1B1_.3.4_ACPS_b3;;0;9;3;2;918.9427;5.743833417;7.6039945;67.93342;71.66748;78.6745;69.02821;84.19661;82.03439;56.02401;74.16489;82.88524;85.76212;90.14942;76.42241;-3.556541;-2.629688;0.8218679;3.912142;7.454212;10.62646;12.40858;12.02878;9.844025;5.537253;1.599236;-2.225339;4.566654;6.515564;11.6481;14.90687;18.89548;22.49124;25.24336;24.50211;21.11446;15.30174;9.491193;4.92687;0.5050565;1.942938;4.0457795;5.6751645;7.6694695;9.4673495;10.8434095;10.4727845;8.7789595;5.8725995;2.967326;0.6851645;-1.6;382.5075;21.01;2.2851645;-0.0949435;2.242938
France;Belledonne;;1B5;.3.3;5.783803458;45.06760658;547;1;2010;ACPS;0.3;5.4;4;0;;;;25;15;;;;;;1B5_.3.3_ACPS_1;;0;5.4;4;0.3;916.06044;5.778974917;7.641421333;67.5706;71.43313;78.40979;68.80828;83.93901;81.79017;55.77745;73.96269;82.73575;85.59681;89.9861;76.05066;-3.530994;-2.603414;0.8544017;3.944979;7.485682;10.65651;12.43512;12.05511;9.87002;5.560933;1.625967;-2.20136;4.603198;6.556436;11.69987;14.95832;18.94399;22.5392;25.29139;24.55062;21.1604;15.3443;9.531363;4.960659;0.536102;1.976511;4.084438;5.713663;7.706498;9.504103;10.880198;10.509813;8.814703;5.906653;3.0001845;0.7148325;-1.6;382.5075;21.01;2.3148325;-0.063898;2.276511
France;Belledonne;;1B5;.3.3;5.783803458;45.06760658;547;1;2010;ACPS;0.7;10;6;0;;2.5;;25;15;;;;;;;;0;10;6;0.7;916.06044;5.778974917;7.641421333;67.5706;71.43313;78.40979;68.80828;83.93901;81.79017;55.77745;73.96269;82.73575;85.59681;89.9861;76.05066;-3.530994;-2.603414;0.8544017;3.944979;7.485682;10.65651;12.43512;12.05511;9.87002;5.560933;1.625967;-2.20136;4.603198;6.556436;11.69987;14.95832;18.94399;22.5392;25.29139;24.55062;21.1604;15.3443;9.531363;4.960659;0.536102;1.976511;4.084438;5.713663;7.706498;9.504103;10.880198;10.509813;8.814703;5.906653;3.0001845;0.7148325;-1.6;382.5075;21.01;2.3148325;-0.063898;2.276511
France;Belledonne;;1B5;.4.3;5.783803458;45.06760658;547;1;2010;ACPS;0.4;6.6;6;0;;2.5;;3;10;;;;;;;;0;6.6;6;0.4;916.06044;5.778974917;7.641421333;67.5706;71.43313;78.40979;68.80828;83.93901;81.79017;55.77745;73.96269;82.73575;85.59681;89.9861;76.05066;-3.530994;-2.603414;0.8544017;3.944979;7.485682;10.65651;12.43512;12.05511;9.87002;5.560933;1.625967;-2.20136;4.603198;6.556436;11.69987;14.95832;18.94399;22.5392;25.29139;24.55062;21.1604;15.3443;9.531363;4.960659;0.536102;1.976511;4.084438;5.713663;7.706498;9.504103;10.880198;10.509813;8.814703;5.906653;3.0001845;0.7148325;-1.6;382.5075;21.01;2.3148325;-0.063898;2.276511
France;Belledonne;;1B5;.4.4;5.783803458;45.06760658;547;1;2010;ACPS;1.5;6.5;2;0;;2.5;;3;12;;;;;;1B5_.4.4_ACPS_b3;;0;6.5;2;1.5;916.06044;5.778974917;7.641421333;67.5706;71.43313;78.40979;68.80828;83.93901;81.79017;55.77745;73.96269;82.73575;85.59681;89.9861;76.05066;-3.530994;-2.603414;0.8544017;3.944979;7.485682;10.65651;12.43512;12.05511;9.87002;5.560933;1.625967;-2.20136;4.603198;6.556436;11.69987;14.95832;18.94399;22.5392;25.29139;24.55062;21.1604;15.3443;9.531363;4.960659;0.536102;1.976511;4.084438;5.713663;7.706498;9.504103;10.880198;10.509813;8.814703;5.906653;3.0001845;0.7148325;-1.6;382.5075;21.01;2.3148325;-0.063898;2.276511
France;Chartreuse;;1C1;.3.4;5.736802205;45.32450613;1182;2;2010;ACPS;0.8;11.6;6;1;;2.5;;38;15;;;;;;1C1_.3.4_ACPS_b1;;0;11.6;6;0.8;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
France;Chartreuse;;1C1;.3.4;5.736802205;45.32450613;1182;2;2010;ACPS;2.4;17.5;6;1;;18.33333333;;38;15;;;;;;1C1_.3.4_ACPS_b2;;0;17.5;6;2.4;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
France;Chartreuse;;1C1;.4.4;5.736802205;45.32450613;1182;2;2010;ACPS;1.3;19.5;6;1;;48.05555556;;35;30;;;;;;1C1_.4.4_ACPS_b5;;0;19.5;6;1.3;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
France;Chartreuse;;1C1;.3.3;5.736802205;45.32450613;1182;2;2010;ACPS;2.2;24.3;6;1;;8.75;;14;17;;;;;;1C1_.3.3_ACPS_b7;;0;24.3;6;2.2;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
France;Chartreuse;;1C1;.4.3;5.736802205;45.32450613;1182;2;2010;ACPS;1.1;22;6;1;;8.75;;14;8;;;;;;1C1_.4.3_ACPS_b8;;0;22;6;1.1;1169.50588;2.708885933;4.342640333;99.43291;92.6927;102.4917;87.15612;106.5576;103.7998;75.84003;90.30266;96.33666;102.0451;104.6699;108.1807;-5.793226;-5.090988;-2.12522;0.8449838;4.465537;7.726285;9.766655;9.437445;7.290916;3.201197;-0.8248175;-4.395025;1.5469274;2.871694;7.157051;10.43813;14.64311;18.35428;21.14808;20.4313;17.21134;11.72296;6.158798;2.146066;-2.1231493;-1.109647;0.6819125;2.322452;4.424942;6.280527;7.677427;7.319037;5.709057;2.964867;0.182786;-1.82358;-0.24;382.5075;4.62;-1.22358;-3.7231493;-1.209647
